d,l,nc,w,association,birth_date,class,country,dob,fname,height1,height2,lname,locality,name1,nick1,nick2,reach,sapm,slpm,stance,str_acc,str_def,sub_avg,td_acc,td_avg,td_def,weight1,weight2
1,6,,18,,1981-07-16,Featherweight,South Korea,1981-07-16,Yui,69.0,69.0,Chul Nam,,Yui Chul Nam,The Korean Bulldozer,The Korean Bulldozer,69.0,2.0,3.53,Orthodox,0.51,0.48,0.3,0.16,1.33,0.57,145.0,145.0
0,13,,12,The Alliance,1961-12-13,Light Heavyweight,United States,1961-12-13,Maurice,74.0,74.0,Smith,"Seattle, Washington",Maurice Smith,,Mo,,0.47,0.41,Orthodox,0.46,0.6,0.9,0.5,0.89,0.2,221.0,206.0
1,2,,7,Gamebred Submission Fighting,1989-03-25,Lightweight,Australia,1989-03-25,Ben,70.0,70.0,Wall,"Brisbane, Queensland",Ben Wall,Manimal,Manimal,73.0,8.53,1.47,Orthodox,0.29,0.29,0.0,0.0,0.0,1.0,155.0,154.0
0,6,,12,Renzo Gracie Fight Academy,1987-07-30,Lightweight,Greece,1987-07-30,Anthony,69.0,69.0,Christodoulou,"Glyfada, Attica",Anthony Christodoulou,,,72.0,5.9,2.19,Orthodox,0.26,0.45,0.0,0.0,0.0,0.4,155.0,155.0
2,16,,28,Lion's Den,1964-02-11,Heavyweight,United States,1964-02-11,Ken,73.0,73.0,Shamrock,"San Diego, California",Ken Shamrock,The World's Most Dangerous Man,The World's Most Dangerous Man,72.0,4.3,1.47,Orthodox,0.46,0.39,2.5,0.6,0.94,0.44,205.0,212.0
0,6,,10,Power MMA,1982-08-21,Middleweight,Brazil,1982-08-21,Daniel,69.0,69.0,Sarafian,"Sao Paulo, Sao Paulo",Daniel Sarafian,,,73.0,3.1,2.23,Orthodox,0.46,0.58,0.7,0.07,0.36,0.53,185.0,185.0
0,1,,5,Renzo Gracie Jiu-Jitsu,1978-07-14,Heavyweight,Brazil,1978-07-14,Rolles,76.0,76.0,Gracie,Rio de Janeiro,Rolles Gracie,,,,3.38,2.3,Orthodox,0.32,0.55,0.0,0.1,2.3,0.0,242.0,249.0
0,8,,9,Altitude MMA,1988-09-05,Bantamweight,United States,1988-09-05,Raquel,67.0,67.0,Pennington,"Colorado Springs, Colorado",Raquel Pennington,Rocky,Rocky,67.0,3.31,3.42,Orthodox,0.47,0.62,0.9,0.28,1.16,0.64,135.0,135.0
0,16,,27,Lauzon MMA,1984-05-22,Lightweight,United States,1984-05-22,Joe,70.0,69.0,Lauzon,"Bridgewater, Massachusetts",Joe Lauzon,J-Lau,J-Lau,71.0,5.39,2.74,Orthodox,0.38,0.54,2.1,0.45,2.34,0.54,155.0,155.0
0,5,,9,Colorado Brazilian Jiu-Jitsu,1971-12-13,Light Heavyweight,United States,1971-12-13,Mike,76.0,76.0,Nickels,"Denver, Colorado",Mike Nickels,,Big,,1.11,4.44,Orthodox,0.52,0.64,2.8,0.8,11.11,0.0,205.0,204.0
0,3,,9,,1982-01-02,Heavyweight,Russia,1983-01-31,Konstantin,71.0,71.0,Erokhin,Moscow,Konstantin Erokhin,The Russian Bear,,73.0,1.83,1.07,Orthodox,0.36,0.47,0.0,0.0,0.0,0.7,230.0,233.0
1,14,,17,MMA Masters Chicago,1973-05-27,Welterweight,United States,1973-05-27,Gideon,70.0,70.0,Ray,"Roselle, Illinois",Gideon Ray,,,,2.58,2.08,Southpaw,0.4,0.53,0.0,1.0,1.49,0.0,185.0,170.0
2,9,,27,Alive,1983-07-18,Featherweight,Japan,1983-07-18,Hatsu,71.0,71.0,Hioki,"Nagoya, Aichi",Hatsu Hioki,,,70.0,2.12,2.42,Orthodox,0.42,0.65,0.6,0.56,2.55,0.54,145.0,145.0
0,3,,11,Northeast Jiu-Jitsu,1987-06-09,Featherweight,United States,1987-06-09,Jimy,69.0,69.0,Hettes,"Swoyersville, Pennsylvania",Jimy Hettes,The Kid,The Kid,71.0,3.5,3.47,Southpaw,0.57,0.57,1.4,0.44,5.2,0.61,145.0,145.0
1,18,1.0,23,Damage Incorporated,1986-09-12,Featherweight,United States,1986-09-12,Dustin,69.0,69.0,Neace,"Indianapolis, Indiana",Dustin Neace,The Beast,The Beast,,2.66,2.08,,0.32,0.56,1.7,0.0,0.0,0.0,145.0,146.0
0,5,,11,Team Aggression,1985-08-10,Lightweight,United States,1985-08-10,Joe,70.0,70.0,Proctor,"Pembroke, Massachusetts",Joe Proctor,,,72.0,3.93,3.39,Orthodox,0.36,0.59,1.8,0.0,0.0,0.7,155.0,155.0
0,6,,14,Reign MMA,1978-02-09,Middleweight,United States,1978-02-09,Mark,72.0,72.0,Munoz,"Mission Viejo, California",Mark Munoz,The Filipino Wrecking Machine,The Filipino Wrecking Machine,72.0,2.26,3.12,Orthodox,0.51,0.57,0.6,0.29,3.17,0.57,185.0,185.0
0,5,,19,Millennia MMA,1973-06-18,Heavyweight,United States,1973-06-18,Wes,74.0,74.0,Combs,"Rancho Cucamonga, California",Wes Combs,The Soldier,Soldier,,4.73,2.14,Orthodox,0.48,0.45,0.0,0.0,0.0,0.0,205.0,230.0
0,6,,7,One Kick's Gym,1986-12-08,Middleweight,United States,1986-12-08,Steve,74.0,74.0,Cantwell,"Pahrump, Nevada",Steve Cantwell,The Robot,The Robot,75.0,5.76,3.63,Orthodox,0.34,0.55,0.7,0.3,0.65,0.8,185.0,185.0
0,10,1.0,26,Constrictor Team,1984-12-09,Bantamweight,Brazil,1984-09-12,Rani,66.0,66.0,Yahya,"Brasilia, Federal District",Rani Yahya,,,67.0,1.61,1.59,Orthodox,0.36,0.52,2.1,0.32,2.92,0.22,135.0,135.0
0,4,,12,H2O MMA,1989-02-23,Lightweight,Canada,1989-02-23,Olivier,69.0,69.0,Aubin-Mercier,"Boucherville, Quebec",Olivier Aubin-Mercier,The Canadian Gangster,The Quebec Kid,70.0,2.95,2.59,Southpaw,0.51,0.55,0.6,0.35,2.63,0.65,155.0,155.0
0,5,,12,Sparta Indy,1982-09-22,Welterweight,United States,1982-09-22,Shamar,69.0,68.0,Bailey,"Indianapolis, Indiana",Shamar Bailey,,The Watchman,75.0,3.91,1.56,,0.2,0.69,0.0,0.33,1.5,0.37,155.0,170.0
0,2,1.0,12,Bushido Bulgaria,1981-09-12,Light Heavyweight,Bulgaria,1981-12-09,Stanislav,71.0,71.0,Nedkov,Veliko Tarnovo,Stanislav Nedkov,Stucky,,71.0,5.39,3.33,Orthodox,0.43,0.43,0.0,0.41,2.77,0.0,205.0,203.0
0,6,,8,Freestyle Fighting Academy,1981-09-07,Bantamweight,United States,1981-09-07,Patrick,68.0,68.0,Williams,"Homestead, Florida",Patrick Williams,The Animal,The Animal,73.0,4.12,4.12,Orthodox,0.51,0.52,0.5,0.41,2.71,1.0,135.0,135.0
2,8,,20,Champion Team,1982-11-22,Welterweight,Brazil,1982-11-22,Edilberto,72.0,72.0,de Oliveira,"Campo Formoso, Bahia",Edilberto de Oliveira,Crocota,Crocota,,6.79,4.12,Orthodox,0.32,0.61,0.0,0.0,0.0,0.0,170.0,170.0
0,6,,13,Evolve MMA,1983-09-19,Bantamweight,Brazil,1983-09-19,Leandro,67.0,66.0,Issa,"Ubatuba, Sao Paulo",Leandro Issa,Brodinho,Brodinho,69.0,3.17,2.08,Orthodox,0.37,0.58,1.2,0.22,2.38,0.5,135.0,136.0
0,3,,12,East Islip Kickboxing,1987-09-30,Lightweight,United States,1987-09-30,Chris,70.0,69.0,Wade,"Long Island, New York",Chris Wade,,,70.0,1.75,1.7,Orthodox,0.53,0.51,1.1,0.51,2.6,0.55,155.0,155.0
1,6,,14,AVT Fight Team,1986-08-08,Welterweight,England,1986-08-08,Danny,74.0,74.0,Mitchell,"Doncaster, Yorkshire",Danny Mitchell,The Cheesecake Assassin,The Cheesecake Assassin,74.0,2.53,2.53,Orthodox,0.49,0.52,3.0,0.0,0.0,1.0,170.0,170.0
0,4,,16,Renzo Gracie Philly,1985-04-25,Lightweight,United States,1984-04-25,Paul,71.0,70.0,Felder,"Philadelphia, Pennsylvania",Paul Felder,The Irish Dragon,The Irish Dragon,70.0,3.08,3.53,Orthodox,0.43,0.5,0.3,0.33,0.32,0.59,155.0,155.0
1,7,,15,Atherton Submission Wrestling,1983-03-03,Heavyweight,England,1983-03-03,Rob,74.0,74.0,Broughton,Liverpool,Rob Broughton,The Bear,The Bear,74.0,2.54,2.83,,0.6,0.51,3.2,0.0,0.0,0.26,265.0,258.0
2,6,,16,Colorado Stars,1965-11-23,Heavyweight,United States,1965-11-23,Ron,74.0,74.0,Waterman,"Greeley, Colorado",Ron Waterman,H20,H2O,,1.37,0.84,Orthodox,0.5,0.42,2.8,0.69,4.19,0.5,280.0,260.0
1,9,1.0,27,American Top Team,1980-09-25,Flyweight,Brazil,1980-09-25,Iliarde,65.0,63.0,Santos,"Escada, Pernambuco",Iliarde Santos,,,66.0,6.1,3.0,Orthodox,0.3,0.57,0.0,0.23,1.66,0.83,125.0,123.0
4,6,,19,Cobra Kai MMA Dojo,1987-08-29,Bantamweight,Japan,1987-08-29,Motonobu,67.0,67.0,Tezuka,Nagano,Motonobu Tezuka,,,66.0,2.8,0.87,Southpaw,0.23,0.51,0.5,0.11,1.5,0.0,135.0,135.0
0,7,1.0,11,All In MMA,1981-10-08,Bantamweight,United States,1981-10-08,Francisco,68.0,68.0,Rivera,"Buena Park, California",Francisco Rivera,Cisco,Cisco,68.0,3.16,4.07,Orthodox,0.41,0.68,0.6,0.63,1.01,0.68,135.0,135.0
0,3,,5,,,Heavyweight,United States,1979-05-15,Chris,75.0,75.0,de la Rocha,"Washougal, Washington",Chris de la Rocha,,,80.0,6.37,4.08,Orthodox,0.45,0.43,1.0,0.3,2.02,0.33,250.0,245.0
2,9,,30,,1977-06-17,Middleweight,Russia,1977-06-17,Andrei,72.0,72.0,Semenov,St. Petersburg,Andrei Semenov,,White Shark,,2.44,0.78,Orthodox,0.15,0.6,0.4,0.8,1.74,0.55,185.0,185.0
0,6,,18,Jackson-Wink MMA,1979-09-01,Middleweight,United States,1979-09-01,Tim,71.0,71.0,Kennedy,"Fort Bragg, North Carolina",Tim Kennedy,,,74.0,1.84,2.78,Orthodox,0.47,0.62,0.7,0.35,2.58,0.7,185.0,185.0
1,5,,15,Roundkick Gym,1986-07-19,Middleweight,United States,1986-07-19,Elvis,72.0,72.0,Mutapcic,"Des Moines, Iowa",Elvis Mutapcic,The King,The King,72.0,4.27,3.41,Orthodox,0.4,0.38,0.0,0.0,0.0,0.81,185.0,185.0
0,7,,18,Alliance MMA,1985-06-14,Bantamweight,United States,1985-06-14,Danny,66.0,65.0,Martinez,"Tempe, Arizona",Danny Martinez,The Gremlin,The Gremlin,67.0,3.77,2.73,Orthodox,0.28,0.63,0.0,0.45,3.0,0.36,125.0,135.0
1,8,1.0,14,American Kickboxing Academy,1979-09-05,Lightweight,United States,1979-05-09,Gray,69.0,68.0,Maynard,"Santa Cruz, California",Gray Maynard,,The Bully,70.0,2.64,1.92,Orthodox,0.32,0.66,0.7,0.47,2.91,0.81,155.0,155.0
0,11,,15,Yoshida Dojo,1979-07-16,Middleweight,Japan,1979-07-16,Kazuhiro,71.0,71.0,Nakamura,"Fukuyama, Hiroshima",Kazuhiro Nakamura,Kaz,King Kaz,70.0,1.83,1.56,Orthodox,0.37,0.59,0.6,0.36,1.73,0.42,205.0,185.0
0,6,,21,Team Quest,1984-10-03,Heavyweight,United States,1984-10-03,Dave,76.0,76.0,Herman,"Columbia City, Indiana",Dave Herman,,,76.0,3.78,4.98,Orthodox,0.6,0.48,0.0,1.0,1.49,0.58,242.0,223.0
0,4,,13,Integrated Fighting Academy,1984-09-25,Light Heavyweight,United States,1984-09-25,Jake,75.0,75.0,O'Brien,"Indianapolis, Indiana",Jake O'Brien,Irish,,76.0,1.92,1.31,Orthodox,0.31,0.69,0.2,0.54,6.39,0.25,205.0,205.0
0,1,,13,Kings MMA,1982-05-02,Welterweight,Brazil,1982-05-02,Alberto,72.0,72.0,Mina,"Campina Grande, Paraiba",Alberto Mina,Soldier of God,Soldier of God,77.0,3.7,3.23,Orthodox,0.38,0.47,0.0,0.2,1.85,0.5,170.0,170.0
1,7,,19,Machine MMA,1970-12-31,Light Heavyweight,England,1966-11-10,Ian,71.0,71.0,Freeman,"Sunderland, Tyne and Wear",Ian Freeman,The Machine,The Machine,,3.11,2.54,Orthodox,0.48,0.44,0.7,0.4,1.44,0.8,225.0,205.0
0,4,,11,Fight Only,1981-07-31,Featherweight,Brazil,1981-07-31,Wagner,66.0,66.0,Campos,"Pinhais, Parana",Wagner Campos,Galeto,Galeto,,2.53,1.54,Southpaw,0.41,0.51,0.0,1.0,2.71,0.0,145.0,145.0
1,14,1.0,13,American Top Team,1974-03-23,Heavyweight,New Zealand,1974-03-23,Mark,70.0,70.0,Hunt,"South Auckland, Auckland",Mark Hunt,Super Samoan,The Super Samoan,72.0,2.9,2.81,Orthodox,0.43,0.51,0.2,0.55,0.51,0.64,265.0,262.0
0,5,,11,Reign MMA,1983-03-18,Heavyweight,United States,1983-03-18,Brendan,76.0,76.0,Schaub,"Aurora, Colorado",Brendan Schaub,Big Brown,Big Brown,78.0,2.22,2.92,Orthodox,0.37,0.57,0.4,0.46,2.32,0.72,245.0,238.0
0,10,,19,Dethrone Base Camp,1977-11-30,Welterweight,United States,1977-11-30,Josh,70.0,70.0,Koscheck,"Buffalo, New York",Josh Koscheck,,Kos,73.0,2.27,1.79,Orthodox,0.36,0.63,0.4,0.48,2.46,0.64,170.0,170.0
0,6,,12,Alliance MMA,1983-01-30,Strawweight,United States,1983-01-30,Jessica,65.0,65.0,Penne,"Huntington Beach, California",Jessica Penne,,,67.0,4.73,2.46,,0.33,0.48,0.6,0.25,1.58,0.2,115.0,115.0
1,8,,19,Gracie Barcelona,1982-09-04,Lightweight,Spain,1982-09-04,Abner,71.0,71.0,Lloveras,Barcelona,Abner Lloveras,Skullman,Skullman,71.0,6.87,6.27,,0.49,0.43,0.0,0.2,2.0,0.0,155.0,155.0
0,11,,22,Alliance MMA,1980-07-21,Middleweight,United States,1980-07-21,Chris,71.0,71.0,Leben,"Portland, Oregon",Chris Leben,The Crippler,The Crippler,74.0,2.87,2.87,Southpaw,0.42,0.52,0.8,0.41,1.14,0.53,185.0,185.0
0,5,,11,,1992-05-02,Flyweight,United States,1992-05-02,Justin,67.0,67.0,Scoggins,"Spartanburg, South Carolina",Justin Scoggins,,Tank,66.0,2.16,3.56,Southpaw,0.51,0.55,0.5,0.63,3.42,0.82,125.0,125.0
0,7,1.0,14,MMA Lab,1986-09-22,Bantamweight,United States,1986-09-22,Mike,71.0,72.0,de la Torre,"San Diego, California",Mike de la Torre,El Cucuy,El Cucuy,71.0,4.75,3.21,Orthodox,0.39,0.51,0.0,0.16,0.36,0.83,145.0,135.0
0,2,,6,USA Martial Arts,1983-11-29,Light Heavyweight,United States,1983-11-29,James,75.0,75.0,Hammortree,"Ocala, Florida",James Hammortree,The Sledge,Sledge,,4.13,1.93,Orthodox,0.3,0.44,1.0,0.5,2.0,1.0,185.0,204.0
0,7,,21,Entram Gym,1988-06-15,Featherweight,Mexico,1988-06-15,Gabriel,68.0,68.0,Benitez,"Tijuana, Baja California",Gabriel Benitez,Moggly,Moggly,71.0,2.6,4.23,Southpaw,0.42,0.73,1.6,1.0,0.23,0.56,145.0,145.0
0,16,,47,Canadian Fighting Centre,1977-09-10,Middleweight,Canada,1977-10-09,Joe,72.0,72.0,Doerksen,"Winnipeg, Manitoba",Joe Doerksen,El Dirte,El Dirte,75.0,2.79,1.43,Orthodox,0.42,0.5,2.3,0.33,2.02,0.33,185.0,186.0
0,4,,17,Last Stand Fight Team,1991-01-15,Bantamweight,United States,1991-01-15,Michael,69.0,68.0,McDonald,"Modesto, California",Michael McDonald,Mayday,Mayday,70.0,2.76,2.69,Orthodox,0.42,0.57,1.4,0.66,1.09,0.52,135.0,136.0
0,2,,14,Ze Mario Team,1987-07-17,Middleweight,Brazil,1987-07-17,Bruno,69.0,68.0,Santos,"Macae, Rio de Janeiro",Bruno Santos,Carioca,Carioca,69.0,2.27,1.18,Orthodox,0.46,0.56,0.3,0.37,3.0,0.66,185.0,185.0
0,7,,17,Sports Lab,1980-09-01,Welterweight,United States,1980-09-01,Mike,68.0,68.0,Pierce,"Portland, Oregon",Mike Pierce,,,70.0,2.36,2.62,Orthodox,0.42,0.62,0.2,0.42,3.08,0.71,170.0,170.0
0,1,,6,MMA Development,,Middleweight,United States,,Steve,72.0,,Byrnes,Hawaii,Steve Byrnes,The Sergeant,,,2.67,1.2,Orthodox,0.51,0.27,4.0,0.6,3.0,0.0,170.0,185.0
0,4,,16,Team Sityodtong,1987-06-25,Bantamweight,United States,1987-06-25,Rob,68.0,68.0,Font,"Boston, Massachusetts",Rob Font,,,71.0,3.88,4.94,Orthodox,0.4,0.63,0.9,0.33,1.29,0.3,135.0,135.0
0,3,,9,Dragon Fight,1987-12-14,Middleweight,Brazil,1987-12-14,Caio,73.0,73.0,Magalhaes,"Fortaleza, Ceara",Caio Magalhaes,Hellboy,Hellboy,73.0,2.78,2.27,Orthodox,0.4,0.56,1.6,0.15,1.05,0.58,185.0,185.0
0,8,1.0,13,Team Lloyd Irvin,1983-02-25,Middleweight,United States,1983-01-25,Ron,74.0,72.0,Stallings,"Temple Hills, Maryland",Ron Stallings,The Choir Boy,The Choir Boy,75.0,3.26,3.22,Southpaw,0.6,0.51,0.0,0.0,0.0,0.71,170.0,185.0
0,13,1.0,29,Miller Brothers MMA,1983-08-30,Lightweight,United States,1983-08-30,Jim,68.0,68.0,Miller,"Sparta, New Jersey",Jim Miller,A-10,,71.0,2.88,2.78,Southpaw,0.4,0.59,1.9,0.41,1.69,0.47,155.0,155.0
1,14,,38,Minnesota Martial Arts Academy,1981-06-23,Welterweight,United States,1981-06-23,Nick,73.0,73.0,Thompson,"Minneapolis, Minnesota",Nick Thompson,The Goat,The Goat,74.0,1.8,1.87,Orthodox,0.42,0.49,2.6,1.0,1.06,0.35,170.0,170.0
0,3,,5,Dirty South Fight Team,1981-12-29,Light Heavyweight,United States,1980-12-29,Josh,76.0,76.0,Shockman,"Nashville, Tennessee",Josh Shockman,The War Hammer,The Warhammer,,0.87,0.87,Southpaw,0.32,0.58,0.0,0.0,0.0,0.23,235.0,205.0
1,8,1.0,12,Yoshida Dojo,1983-10-16,Featherweight,Venezuela,1983-10-16,Maximo,68.0,68.0,Blanco,Caracas,Maximo Blanco,Maxi,Maxi,71.0,3.19,4.11,Orthodox,0.44,0.66,0.3,0.36,1.85,0.63,145.0,145.0
0,2,,6,Miletich Martial Arts,1973-10-13,Middleweight,USA,1973-10-13,Mark,69.0,68.0,Hughes,"Hillsborough, Illinois",Mark Hughes,,,,0.4,0.9,Southpaw,0.47,0.42,4.5,0.5,3.0,0.0,205.0,185.0
0,2,,6,Bighead MMA,1986-05-11,Bantamweight,United States,1986-05-11,Joseph,67.0,66.0,Sandoval,"Lubbock, Texas",Joseph Sandoval,,,,12.12,1.82,Southpaw,0.42,0.6,0.0,0.0,0.0,0.0,135.0,135.0
0,2,,10,MMAGOLD Fight Team,1987-09-19,Middleweight,United States,1987-09-19,Lewis,70.0,70.0,Gonzalez,"Turlock, California",Lewis Gonzalez,Lethal,Lethal,73.0,1.87,1.4,Orthodox,0.37,0.41,0.0,0.33,2.0,0.62,170.0,174.0
0,4,,11,American Kickboxing Academy,1989-04-23,Featherweight,Mexico,1989-04-23,Juan,69.0,69.0,Puig,"Mexico City, Federal District",Juan Puig,Fenix,Fenix,72.0,7.17,4.91,Orthodox,0.23,0.51,0.0,0.0,0.0,0.0,145.0,145.0
0,7,1.0,17,Pellegrino MMA,1981-03-13,Welterweight,United States,1981-03-13,George,72.0,72.0,Sullivan,"Belmar, New Jersey",George Sullivan,The Silencer,,73.0,2.42,3.53,Orthodox,0.39,0.57,0.7,0.2,1.37,0.38,170.0,169.0
0,10,,6,Boxing Squad,,Heavyweight,France,1974-07-30,Kristof,73.0,73.0,Midoux,Nice,Kristof Midoux,The Hurricane,The French Hurricane,,2.89,0.7,Orthodox,0.43,0.49,0.0,0.0,0.0,0.0,220.0,220.0
0,2,,2,Octagon MMA Colombia,,Featherweight,Colombia,1988-05-29,Alex,70.0,70.0,Torres,Bogota,Alex Torres,Rolo,Rolo,70.0,2.73,2.47,Orthodox,0.37,0.69,0.0,0.22,2.0,0.5,145.0,145.0
0,8,1.0,18,Heartbreak Conditioning,1979-11-15,Middleweight,New Zealand,1979-11-15,Dylan,73.0,73.0,Andrews,,Dylan Andrews,The Villain,The Villain,73.0,2.72,2.21,Switch,0.5,0.46,0.4,0.5,2.83,0.57,185.0,185.0
0,6,1.0,6,Jackson-Wink MMA,1984-06-10,Welterweight,United States,1984-06-10,Frank,71.0,71.0,Lester,"Temecula, California",Frank Lester,,The Tank,,3.82,2.18,Orthodox,0.36,0.53,0.0,0.0,0.0,0.0,170.0,170.0
0,6,,24,Agallar Combative Systems,1979-01-13,Lightweight,United States,1979-01-13,Nick,68.0,,Agallar,"Racine, Wisconsin",Nick Agallar,,,,4.56,0.69,Orthodox,0.11,0.42,0.0,0.0,0.0,0.0,155.0,155.0
0,4,,15,Finney's HIT Squad,1981-05-31,Welterweight,United States,1981-05-31,Matt,71.0,67.0,Veach,"Granite City, Illinois",Matt Veach,,,,4.91,1.12,Orthodox,0.28,0.44,1.5,0.38,3.64,1.0,155.0,170.0
0,5,,27,Team Alpha Male,1984-07-31,Flyweight,United States,1984-07-31,Joseph,64.0,64.0,Benavidez,"Sacramento, California",Joseph Benavidez,,,65.0,2.55,3.41,Southpaw,0.33,0.63,0.7,0.31,1.58,0.65,125.0,125.0
0,5,,10,Janjira Muay Thai,1989-08-25,Flyweight,United States,1989-08-25,Ryan,65.0,65.0,Benoit,"Dallas, Texas",Ryan Benoit,Baby Face,Baby Face,68.0,3.2,2.38,Orthodox,0.36,0.59,0.2,0.2,0.24,0.62,125.0,125.0
0,11,,8,Wolfslair,1974-02-06,Welterweight,United States,1974-02-06,Zach,68.0,68.0,Light,"Huntington Beach, California",Zach Light,,The Lisbon Outlaw,,1.9,0.81,Orthodox,0.33,0.48,0.0,1.0,1.36,0.0,170.0,170.0
1,11,,19,Jackson-Wink MMA,1979-07-14,Featherweight,United States,1979-07-14,Leonard,70.0,69.0,Garcia,"Plainview, Texas",Leonard Garcia,Bad Boy,Bad Boy,69.0,4.79,2.77,Orthodox,0.24,0.52,0.5,0.26,0.3,0.42,145.0,145.0
0,9,,21,Xtreme Couture,1972-05-07,Middleweight,United States,1972-05-07,Frank,69.0,68.0,Trigg,"Rochester, New York",Frank Trigg,Twinkle Toes,Twinkle Toes,71.0,1.9,2.79,Southpaw,0.46,0.56,0.8,0.47,2.35,0.75,170.0,181.0
0,3,,5,WCA Fight Team,1991-07-11,Strawweight,Poland,1991-07-11,Izabela,65.0,64.0,Badurek,Lublin,Izabela Badurek,,,,4.9,3.74,Orthodox,0.71,0.32,0.0,0.12,1.75,1.0,115.0,115.0
0,6,1.0,11,American Kickboxing Academy,1982-03-22,Light Heavyweight,United States,1982-03-22,Kyle,76.0,76.0,Kingsbury,"San Jose, California",Kyle Kingsbury,Kingsbu,Kingsbu,76.0,3.81,2.97,Orthodox,0.4,0.51,0.0,0.41,2.64,0.52,205.0,205.0
0,4,,11,Cold Steel MMA,1987-09-08,Light Heavyweight,United States,1987-09-08,Chris,70.0,70.0,Dempsey,"Johnstown, Pennsylvania",Chris Dempsey,,,72.0,2.82,2.25,Orthodox,0.32,0.65,0.0,0.23,2.64,0.16,185.0,205.0
1,8,,24,Blackzilians,1979-09-25,Light Heavyweight,United States,1979-09-25,Rashad,72.0,71.0,Evans,"Niagara Falls, New York",Rashad Evans,Suga,Suga,75.0,2.42,2.14,Orthodox,0.37,0.63,0.0,0.44,2.98,0.73,205.0,205.0
8,32,,51,Kuma Gym,1976-01-12,Middleweight,Japan,1976-01-12,Ikuhisa,69.0,69.0,Minowa,"Nagoya, Aichi",Ikuhisa Minowa,Minowaman,Minowaman,,1.66,0.88,Orthodox,0.4,0.49,1.9,0.41,1.82,0.05,181.0,185.0
0,4,,12,Team Alpha Male,1979-10-24,Middleweight,United States,1979-10-24,David,72.0,72.0,Mitchell,"Windsor, California",David Mitchell,Daudi,Bulletproof,76.0,2.06,1.74,Orthodox,0.32,0.55,2.0,0.5,0.66,0.29,170.0,185.0
0,4,,19,Peresvet FT,1981-09-02,Heavyweight,Russia,1981-09-02,Shamil,75.0,75.0,Abdurakhimov,"Makhachkala, Dagestan",Shamil Abdurakhimov,Abrek,Abrek,76.0,2.24,2.44,Orthodox,0.45,0.6,0.2,0.26,1.5,0.66,235.0,255.0
