D,L,NC,W,dob,fname,height,lname,name,nick,reach,sapm,slpm,stance,str. acc,str. def,sub. avg,td acc,td avg,td def,weight
2,9,,27,1983-07-18,Hatsu,71.0,Hioki,Hatsu Hioki,,70.0,2.12,2.42,Orthodox,0.42,0.65,0.6,0.56,2.55,0.54,145.0
1,2,,12,1988-05-03,Paddy,70.0,Holohan,Paddy Holohan,The Hooligan,69.0,2.81,2.13,Orthodox,0.46,0.46,1.3,0.47,2.88,0.71,125.0
0,3,,11,1987-06-09,Jimy,69.0,Hettes,Jimy Hettes,The Kid,71.0,3.5,3.47,Southpaw,0.57,0.57,1.4,0.44,5.2,0.61,145.0
1,18,1.0,23,1986-09-12,Dustin,69.0,Neace,Dustin Neace,The Beast,,2.66,2.08,,0.32,0.56,1.7,0.0,0.0,0.0,145.0
0,13,,10,1974-04-11,Shungo,71.0,Oyama,Shungo Oyama,,,1.96,0.64,Southpaw,0.25,0.57,0.5,0.57,1.07,0.62,185.0
0,5,,11,1985-08-10,Joe,70.0,Proctor,Joe Proctor,,72.0,3.93,3.39,Orthodox,0.36,0.59,1.8,0.0,0.0,0.7,155.0
1,4,,11,1982-05-06,Luiz,71.0,Dutra,Luiz Dutra,Besouro,71.0,4.8,3.92,Orthodox,0.5,0.41,0.0,0.0,0.0,1.0,170.0
0,6,,14,1978-02-09,Mark,72.0,Munoz,Mark Munoz,The Filipino Wrecking Machine,72.0,2.26,3.12,Orthodox,0.51,0.57,0.6,0.29,3.17,0.57,185.0
0,3,,10,1980-01-18,Jose,,Santibanez,Jose Santibanez,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,5,,19,1973-06-18,Wes,74.0,Combs,Wes Combs,The Soldier,,4.73,2.14,Orthodox,0.48,0.45,0.0,0.0,0.0,0.0,205.0
0,8,,11,1986-03-25,Chris,,Culley,Chris Culley,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,6,,7,1986-12-08,Steve,74.0,Cantwell,Steve Cantwell,The Robot,75.0,5.76,3.63,Orthodox,0.34,0.55,0.7,0.3,0.65,0.8,185.0
0,10,1.0,26,1984-09-12,Rani,66.0,Yahya,Rani Yahya,,67.0,1.61,1.59,Orthodox,0.36,0.52,2.1,0.32,2.92,0.22,135.0
2,2,,3,1983-03-12,Andrews,73.0,Nakahara,Andrews Nakahara,,,1.9,2.68,Orthodox,0.44,0.57,0.4,0.0,0.0,0.72,185.0
0,6,1.0,7,1983-06-30,Blas,72.0,Avena,Blas Avena,The Disciple,74.0,3.36,2.34,Orthodox,0.47,0.43,1.8,0.8,2.37,0.5,170.0
0,1,,3,,Enrique,,Watson,Enrique Watson,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
1,4,,6,,Andre,72.0,Amado,Andre Amado,Dida,,5.91,2.27,Orthodox,0.24,0.63,0.0,0.0,0.0,0.2,154.0
0,4,,12,1989-02-23,Olivier,69.0,Aubin-Mercier,Olivier Aubin-Mercier,The Canadian Gangster,70.0,2.95,2.59,Southpaw,0.51,0.55,0.6,0.35,2.63,0.65,155.0
2,7,,6,1973-10-31,Katsuhiko,67.0,Nagata,Katsuhiko Nagata,,,1.5,1.05,Southpaw,0.19,0.63,0.0,0.28,0.98,0.28,154.0
0,5,,12,1982-09-22,Shamar,69.0,Bailey,Shamar Bailey,,75.0,3.91,1.56,,0.2,0.69,0.0,0.33,1.5,0.37,155.0
0,2,1.0,12,1981-12-09,Stanislav,71.0,Nedkov,Stanislav Nedkov,Stucky,71.0,5.39,3.33,Orthodox,0.43,0.43,0.0,0.41,2.77,0.0,205.0
0,6,,8,1981-09-07,Patrick,68.0,Williams,Patrick Williams,The Animal,73.0,4.12,4.12,Orthodox,0.51,0.52,0.5,0.41,2.71,1.0,135.0
2,8,,20,1982-11-22,Edilberto,72.0,de Oliveira,Edilberto de Oliveira,Crocota,,6.79,4.12,Orthodox,0.32,0.61,0.0,0.0,0.0,0.0,170.0
0,6,,13,1983-09-19,Leandro,67.0,Issa,Leandro Issa,Brodinho,69.0,3.17,2.08,Orthodox,0.37,0.58,1.2,0.22,2.38,0.5,135.0
0,3,,12,1987-09-30,Chris,70.0,Wade,Chris Wade,,70.0,1.75,1.7,Orthodox,0.53,0.51,1.1,0.51,2.6,0.55,155.0
1,6,,14,1986-08-08,Danny,74.0,Mitchell,Danny Mitchell,The Cheesecake Assassin,74.0,2.53,2.53,Orthodox,0.49,0.52,3.0,0.0,0.0,1.0,170.0
0,12,,7,,Mychal,75.0,Clark,Mychal Clark,,,2.9,5.8,Orthodox,0.56,0.59,0.0,0.0,0.0,0.0,224.0
0,4,,16,1984-04-25,Paul,71.0,Felder,Paul Felder,The Irish Dragon,70.0,3.08,3.53,Orthodox,0.43,0.5,0.3,0.33,0.32,0.59,155.0
4,16,,25,1974-10-27,Yasuhito,69.0,Namekawa,Yasuhito Namekawa,,,3.65,0.14,Orthodox,0.5,0.38,4.2,0.25,2.11,0.0,205.0
3,9,,6,,Brian,67.0,Lo-A-Njoe,Brian Lo-A-Njoe,,,0.0,3.87,Orthodox,0.42,0.0,0.0,0.0,0.0,0.66,155.0
0,10,,12,1979-02-09,Tim,71.0,Stout,Tim Stout,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
1,7,,15,1983-03-03,Rob,74.0,Broughton,Rob Broughton,The Bear,74.0,2.54,2.83,,0.6,0.51,3.2,0.0,0.0,0.26,265.0
0,3,,2,1980-10-30,Hong,86.0,Man Choi,Hong Man Choi,Techno Goliath,,1.46,1.32,Orthodox,0.26,0.36,0.0,1.0,0.71,0.84,330.0
0,3,,7,1983-03-05,Ed,70.0,Ratcliff,Ed Ratcliff,9mm,71.0,2.96,2.71,Orthodox,0.38,0.63,0.0,0.16,0.28,0.53,155.0
2,6,,16,1965-11-23,Ron,74.0,Waterman,Ron Waterman,H20,,1.37,0.84,Orthodox,0.5,0.42,2.8,0.69,4.19,0.5,280.0
0,5,,8,1980-05-24,Alex,74.0,Serdyukov,Alex Serdyukov,The Russian Crusher,74.0,2.53,3.92,Orthodox,0.42,0.54,2.6,0.6,1.56,0.7,170.0
1,9,1.0,27,1980-09-25,Iliarde,65.0,Santos,Iliarde Santos,,66.0,6.1,3.0,Orthodox,0.3,0.57,0.0,0.23,1.66,0.83,125.0
4,6,,19,1987-08-29,Motonobu,67.0,Tezuka,Motonobu Tezuka,,66.0,2.8,0.87,Southpaw,0.23,0.51,0.5,0.11,1.5,0.0,135.0
0,4,,8,1982-03-13,Lina,67.0,Lansberg,Lina Lansberg,Elbow Queen,65.0,5.31,3.63,Orthodox,0.55,0.46,0.2,0.22,0.5,0.33,135.0
0,7,1.0,11,1981-10-08,Francisco,68.0,Rivera,Francisco Rivera,Cisco,68.0,3.16,4.07,Orthodox,0.41,0.68,0.6,0.63,1.01,0.68,135.0
0,3,,5,1979-05-15,Chris,75.0,de la Rocha,Chris de la Rocha,,80.0,6.37,4.08,Orthodox,0.45,0.43,1.0,0.3,2.02,0.33,250.0
0,1,,10,1987-12-19,Darrion,70.0,Caldwell,Darrion Caldwell,The Wolf,,0.57,0.85,,0.34,0.6,0.8,0.66,3.41,1.0,135.0
0,12,,1,,Miguel,76.0,Cosio,Miguel Cosio,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,205.0
0,6,,11,,Dae,71.0,Won Kim,Dae Won Kim,,,2.51,1.75,Orthodox,0.32,0.36,0.0,0.42,3.43,0.0,180.0
0,0,,9,1995-01-24,Sergey,75.0,Spivak,Sergey Spivak,The Polar Bear,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,238.0
0,0,,6,,Chad,77.0,Corvin,Chad Corvin,The Brave Warrior,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,255.0
0,2,1.0,14,1987-05-27,Alex,70.0,Enlund,Alex Enlund,,73.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,7,,23,1992-01-18,Marcin,69.0,Held,Marcin Held,,71.0,2.02,1.41,Orthodox,0.34,0.47,1.3,0.46,2.46,0.37,155.0
2,9,,30,1977-06-17,Andrei,72.0,Semenov,Andrei Semenov,,,2.44,0.78,Orthodox,0.15,0.6,0.4,0.8,1.74,0.55,185.0
0,3,,4,,Ron,70.0,Henderson,Ron Henderson,,,3.6,2.53,,0.25,0.48,0.0,0.2,1.0,0.0,125.0
0,6,,18,1979-09-01,Tim,71.0,Kennedy,Tim Kennedy,,74.0,1.84,2.78,Orthodox,0.47,0.62,0.7,0.35,2.58,0.7,185.0
1,5,,15,1986-07-19,Elvis,72.0,Mutapcic,Elvis Mutapcic,The King,72.0,4.27,3.41,Orthodox,0.4,0.38,0.0,0.0,0.0,0.81,185.0
0,7,,18,1985-06-14,Danny,66.0,Martinez,Danny Martinez,The Gremlin,67.0,3.77,2.73,Orthodox,0.28,0.63,0.0,0.45,3.0,0.36,125.0
0,5,,4,1991-02-25,Rachael,63.0,Ostovich,Rachael Ostovich,,62.0,3.28,2.32,Orthodox,0.43,0.59,1.3,1.0,3.28,1.0,125.0
0,1,,6,1995-06-28,Jacob,69.0,Kilburn,Jacob Kilburn,The Killer,71.0,4.97,1.33,Orthodox,0.57,0.25,0.0,0.0,0.0,0.0,145.0
0,3,,9,1991-02-27,Jun,72.0,Yong Park,Jun Yong Park,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,170.0
0,2,,8,1988-08-19,Priscila,67.0,Cachoeira,Priscila Cachoeira,Zombie Girl,65.0,8.27,3.15,Orthodox,0.31,0.34,0.0,0.0,0.0,0.69,125.0
0,12,,6,,Harry,77.0,Moskowitz,Harry Moskowitz,Dirty,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,275.0
1,8,1.0,14,1979-05-09,Gray,69.0,Maynard,Gray Maynard,,70.0,2.64,1.92,Orthodox,0.32,0.66,0.7,0.47,2.91,0.81,155.0
1,9,,16,1983-07-05,Edson,66.0,Berto,Edson Berto,Little Tiger,,4.62,1.76,Orthodox,0.36,0.47,2.7,0.4,5.47,0.0,155.0
1,10,,9,1965-10-26,Willie,69.0,Peeters,Willie Peeters,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,220.0
0,11,,15,1979-07-16,Kazuhiro,71.0,Nakamura,Kazuhiro Nakamura,Kaz,70.0,1.83,1.56,Orthodox,0.37,0.59,0.6,0.36,1.73,0.42,205.0
0,6,,21,1984-10-03,Dave,76.0,Herman,Dave Herman,,76.0,3.78,4.98,Orthodox,0.6,0.48,0.0,1.0,1.49,0.58,242.0
0,2,,1,,Michelle,,Maher,Michelle Maher,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,4,,3,1969-08-04,Nikk,68.0,Covert,Nikk Covert,The Brick,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0,0,,7,1988-03-17,Jairzinho,74.0,Rozenstruik,Jairzinho Rozenstruik,Bigi Boy,78.0,3.05,3.22,Orthodox,0.7,0.33,0.0,0.0,0.0,0.66,242.0
0,1,,10,1985-08-11,Abdul,70.0,Razak Alhassan,Abdul Razak Alhassan,,73.0,4.2,4.59,Orthodox,0.46,0.59,0.0,0.33,0.57,0.53,170.0
0,2,,10,1996-04-18,Wu,68.0,Yanan,Wu Yanan,Mulan,66.0,2.89,2.11,Orthodox,0.45,0.49,0.8,0.33,0.79,0.37,125.0
0,1,,4,,Sokun,73.0,Koh,Sokun Koh,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,205.0
0,4,,18,1979-04-28,Brandon,71.0,Foxworth,Brandon Foxworth,,,4.59,1.33,Orthodox,0.32,0.5,0.0,0.0,0.0,0.0,145.0
0,1,,9,1986-07-23,Jay,67.0,Cucciniello,Jay Cucciniello,Mellow Fellow,,4.73,0.93,Orthodox,0.21,0.36,0.0,0.0,0.0,0.71,155.0
0,4,,13,1984-09-25,Jake,75.0,O'Brien,Jake O'Brien,Irish,76.0,1.92,1.31,Orthodox,0.31,0.69,0.2,0.54,6.39,0.25,205.0
0,1,,13,1982-05-02,Alberto,72.0,Mina,Alberto Mina,Soldier of God,77.0,3.7,3.23,Orthodox,0.38,0.47,0.0,0.2,1.85,0.5,170.0
1,7,,19,1966-11-10,Ian,71.0,Freeman,Ian Freeman,The Machine,,3.11,2.54,Orthodox,0.48,0.44,0.7,0.4,1.44,0.8,225.0
0,12,,17,1984-12-25,Damien,70.0,Brown,Damien Brown,Beatdown,68.0,4.86,3.66,Orthodox,0.38,0.5,0.7,0.27,0.68,0.53,155.0
0,4,,11,1981-07-31,Wagner,66.0,Campos,Wagner Campos,Galeto,,2.53,1.54,Southpaw,0.41,0.51,0.0,1.0,2.71,0.0,145.0
0,2,,6,1990-07-31,Daniel,79.0,Spitz,Daniel Spitz,The Daddy Long Legs,82.0,4.77,2.88,Orthodox,0.39,0.51,0.0,0.66,1.18,0.0,245.0
1,14,1.0,13,1974-03-23,Mark,70.0,Hunt,Mark Hunt,Super Samoan,72.0,2.9,2.81,Orthodox,0.43,0.51,0.2,0.55,0.51,0.64,265.0
0,5,,11,1983-03-18,Brendan,76.0,Schaub,Brendan Schaub,Big Brown,78.0,2.22,2.92,Orthodox,0.37,0.57,0.4,0.46,2.32,0.72,245.0
0,10,,19,1977-11-30,Josh,70.0,Koscheck,Josh Koscheck,,73.0,2.27,1.79,Orthodox,0.36,0.63,0.4,0.48,2.46,0.64,170.0
0,0,,4,1983-12-08,Drew,,Pendleton,Drew Pendleton,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,6,,12,1983-01-30,Jessica,65.0,Penne,Jessica Penne,,67.0,4.73,2.46,,0.33,0.48,0.6,0.25,1.58,0.2,115.0
2,4,,4,1987-06-25,Melinda,66.0,Fabian,Melinda Fabian,,66.0,4.0,4.03,,0.41,0.62,0.0,0.0,0.0,1.0,125.0
0,1,,0,1986-04-20,Errol,75.0,Zimmerman,Errol Zimmerman,The Bonecrusher,,0.0,2.95,Orthodox,0.42,0.0,0.0,0.0,0.0,0.0,185.0
0,3,,4,,Patrick,72.0,Murphy,Patrick Murphy,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,170.0
0,3,,7,1987-06-05,Chris,75.0,Birchler,Chris Birchler,The Big Buck,79.0,14.83,9.35,Switch,0.46,0.35,0.0,0.0,0.0,0.0,205.0
1,8,,19,1982-09-04,Abner,71.0,Lloveras,Abner Lloveras,Skullman,71.0,6.87,6.27,,0.49,0.43,0.0,0.2,2.0,0.0,155.0
0,1,,0,,Ray,,Wizard,Ray Wizard,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0,3,,0,,Tom,74.0,Tuggle,Tom Tuggle,The Law,,2.14,0.0,Orthodox,0.0,0.0,0.0,1.0,32.14,0.0,250.0
0,1,,0,,Scott,67.0,Shaffer,Scott Shaffer,,,0.53,2.4,Orthodox,0.67,0.5,3.0,0.0,0.0,0.72,145.0
0,11,,22,1980-07-21,Chris,71.0,Leben,Chris Leben,The Crippler,74.0,2.87,2.87,Southpaw,0.42,0.52,0.8,0.41,1.14,0.53,185.0
0,3,,1,,Marcus,73.0,Bossett,Marcus Bossett,The Grasshopper,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,215.0
0,1,,6,,Thomas,69.0,Longacre,Thomas Longacre,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,5,,11,1992-05-02,Justin,67.0,Scoggins,Justin Scoggins,,66.0,2.16,3.56,Southpaw,0.51,0.55,0.5,0.63,3.42,0.82,125.0
0,2,,2,,Keith,71.0,Hackney,Keith Hackney,The Giant Killer,,0.0,0.0,Sideways,0.0,0.0,0.0,0.0,0.0,0.0,200.0
0,13,,18,1973-09-10,Roman,73.0,Zentsov,Roman Zentsov,The Russian Hammer,,0.53,1.18,Orthodox,0.36,0.7,3.2,1.0,1.6,0.33,230.0
0,7,1.0,14,1986-09-22,Mike,71.0,de la Torre,Mike de la Torre,El Cucuy,71.0,4.75,3.21,Orthodox,0.39,0.51,0.0,0.16,0.36,0.83,145.0
0,2,,6,1983-11-29,James,75.0,Hammortree,James Hammortree,The Sledge,,4.13,1.93,Orthodox,0.3,0.44,1.0,0.5,2.0,1.0,185.0
0,1,,7,1987-11-19,Aiemann,68.0,Zahabi,Aiemann Zahabi,,68.0,3.93,3.34,Orthodox,0.41,0.62,0.0,0.0,0.0,0.72,135.0
0,1,,5,1980-12-21,James,69.0,Reese,James Reese,JP,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,1,,7,1995-07-05,Joe,72.0,Giannetti,Joe Giannetti,Skeletor,74.0,2.8,1.93,Southpaw,0.38,0.4,0.0,0.16,1.0,0.0,155.0
0,7,,17,1986-12-22,Zak,71.0,Ottow,Zak Ottow,The Barbarian,72.0,2.73,2.63,Orthodox,0.36,0.58,0.4,0.29,0.97,0.57,170.0
0,4,,10,1983-08-23,Scott,68.0,McAfee,Scott McAfee,,,1.33,0.0,Orthodox,0.0,0.5,0.0,0.0,0.0,0.0,155.0
0,7,,21,1988-06-15,Gabriel,68.0,Benitez,Gabriel Benitez,Moggly,71.0,2.6,4.23,Southpaw,0.42,0.73,1.6,1.0,0.23,0.56,145.0
0,2,1.0,9,1988-09-28,Justin,76.0,Ledet,Justin Ledet,El Blanco,80.0,4.46,3.45,Orthodox,0.41,0.48,0.3,0.5,0.32,0.4,205.0
0,16,,47,1977-10-09,Joe,72.0,Doerksen,Joe Doerksen,El Dirte,75.0,2.79,1.43,Orthodox,0.42,0.5,2.3,0.33,2.02,0.33,185.0
0,8,,24,1978-06-09,Dion,73.0,Staring,Dion Staring,Soldier,,5.0,1.09,Orthodox,0.37,0.47,0.0,0.0,0.0,0.33,235.0
0,1,,3,1985-10-04,Ralek,74.0,Gracie,Ralek Gracie,,,1.05,1.61,Orthodox,0.46,0.55,1.7,0.75,2.5,0.0,210.0
0,13,,9,,Yan,71.0,Pellerin,Yan Pellerin,Wild Thing,,0.89,0.59,Orthodox,0.25,0.66,0.0,1.0,4.43,0.0,205.0
0,2,,7,1988-12-15,Poliana,68.0,Botelho,Poliana Botelho,,67.0,2.51,4.03,Orthodox,0.59,0.5,0.0,1.0,0.74,0.88,115.0
0,1,,12,1992-05-13,Sergei,75.0,Pavlovich,Sergei Pavlovich,,84.0,5.06,2.99,Southpaw,0.4,0.15,0.0,0.0,0.0,0.5,257.0
