d,l,nc,w,association,country,dob,fname,height1,height2,lname,locality,name1,nick1,reach,sapm,slpm,stance,str_acc,str_def,sub_avg,td_acc,td_avg,td_def,weight1,eff,active,grind,ape_ratio,st_ratio,age,wc,w_pct,z_sapm,z_slpm,z_str_acc,z_str_def,z_td_acc,z_td_avg,z_td_def,z_eff,z_active,z_grind,z_st_ratio,z_age,z_ape_ratio,fights
1,6,0.0,18,,South Korea,1981-07-16,Yui,69.0,69.0,Chul Nam,,Yui Chul Nam,The Korean Bulldozer,69.0,2.0,3.53,Orthodox,0.51,0.48,0.3,0.16,1.33,0.57,145.0,1.765,5.529999999999999,4.433333333333334,1.0,39.81203007518796,37.78904109589041,fw,0.72,-0.6683297693163552,0.43089893750656527,0.8350039466756464,-0.5968988840191085,-0.4949028304659145,-0.07533047252663905,0.1674154315037541,1.0246826923708292,-0.2111046244514442,0.6697971991650283,-0.053145523095913444,0.8761674656860402,-0.8151325497482462,25.0
0,13,0.0,12,The Alliance,USA,1961-12-13,Maurice,74.0,74.0,Smith,"Seattle, Washington",Maurice Smith,,,0.47,0.41,Orthodox,0.46,0.6,0.9,0.5,0.89,0.2,221.0,0.8723404255319149,0.8799999999999999,0.9888888888888889,,6.910112359550561,57.391780821917806,hw,0.48,-0.8571359274706055,-1.0593991013467714,0.21995367922543657,0.8668825133979166,0.6136881810578487,-0.16196784408497486,-0.5545077084417582,-0.08617003500518866,-1.2114997732705477,-0.38782972084167233,-0.5273466244866459,2.442371627886088,,25.0
1,2,0.0,7,Gamebred Submission Fighting,Australia,1989-03-25,Ben,70.0,70.0,Wall,"Brisbane, Queensland",Ben Wall,Manimal,73.0,8.53,1.47,Orthodox,0.29,0.29,0.0,0.0,0.0,1.0,155.0,0.17233294255568582,10.0,,1.042857142857143,,30.09315068493151,lw,0.7,2.579911768976253,-0.6968973662819655,-0.764779799080614,-1.9510777017446552,-1.1474814557149924,-0.8330794058249812,1.729747742003507,-0.9269574035707332,1.442997006562735,,,-1.0554892969615413,0.6847767681240025,10.0
0,6,0.0,12,Renzo Gracie Fight Academy,Greece,1987-07-30,Anthony,69.0,69.0,Christodoulou,"Glyfada, Attica",Anthony Christodoulou,,72.0,5.9,2.19,Orthodox,0.26,0.45,0.0,0.0,0.0,0.4,155.0,0.3711864406779661,8.09,,1.0434782608695652,,31.747945205479454,lw,0.6666666666666666,1.279130927744494,-0.235208427393057,-0.978898317034487,-0.7053868579926632,-1.1474814557149924,-0.8330794058249812,-0.18472603880399638,-0.6867087916429095,0.7755610428341586,,,-0.7352752983499012,0.7071730405511591,18.0
2,16,0.0,28,Lion's Den,USA,1964-02-11,Ken,73.0,73.0,Shamrock,"San Diego, California",Ken Shamrock,The World's Most Dangerous Man,72.0,4.3,1.47,Orthodox,0.46,0.39,2.5,0.6,0.94,0.44,205.0,0.3418604651162791,5.77,0.376,0.9863013698630136,23.45744680851064,55.227397260273975,lhw,0.6086956521739131,0.14331956958869543,-0.5658109366947548,0.22611147718432822,-0.7407140451055727,1.144394527571399,-0.21258804170169776,0.1317553411693927,-0.17960701009540717,-0.10928141909344784,-0.45403909837824286,-0.287215561811831,2.2083860091395153,-1.5675821155963858,46.0
0,6,0.0,10,Power MMA,Brazil,1982-08-21,Daniel,69.0,69.0,Sarafian,"Sao Paulo, Sao Paulo",Daniel Sarafian,,73.0,3.1,2.23,Orthodox,0.46,0.58,0.7,0.07,0.36,0.53,185.0,0.7193548387096774,5.33,0.5142857142857143,1.0579710144927537,92.91666666666667,36.69041095890411,mw,0.625,-0.07635132818123966,-0.1325072969380998,0.23942489920081533,0.5695985419332689,-0.8562321569121597,-0.5507369948175329,0.25448696149558686,-0.2561272782194418,-0.12576080382780513,-0.6420727536237781,1.0469027735892003,-0.11570449267474812,0.9854769932623463,16.0
0,1,0.0,5,Renzo Gracie Jiu-Jitsu,Brazil,1978-07-14,Rolles,76.0,76.0,Gracie,Rio de Janeiro,Rolles Gracie,,,3.38,2.3,Orthodox,0.32,0.55,0.0,0.1,2.3,0.0,242.0,0.680473372781065,5.68,,,15.000000000000002,40.797260273972604,hw,0.8333333333333334,-0.13909214969217618,-0.06396544757753403,-0.5308422717702236,0.5417132096498541,-0.5920632905347201,0.38575031896776113,-1.1253548831151097,-0.22280783951167096,-0.15132743716590236,,-0.3982463089102342,0.10348387667727152,,6.0
0,8,0.0,9,Altitude MMA,USA,1988-09-05,Raquel,67.0,67.0,Pennington,"Colorado Springs, Colorado",Raquel Pennington,Rocky,67.0,3.31,3.42,Orthodox,0.47,0.62,0.9,0.28,1.16,0.64,135.0,1.0332326283987916,6.73,1.2888888888888888,1.0,44.224137931034484,30.643835616438356,bw,0.5294117647058824,-0.141711594272247,0.2055478911319227,0.5706662565265277,0.6212589868028388,-0.11778034897799851,-0.14986938960873394,0.43551669018923544,0.06311392023548844,0.016271994923600888,-0.35731850826973693,-0.020076416890178705,-0.43233488556902633,-0.6457470761349782,17.0
0,16,0.0,27,Lauzon MMA,USA,1984-05-22,Joe,70.0,69.0,Lauzon,"Bridgewater, Massachusetts",Joe Lauzon,J-Lau,71.0,5.39,2.74,Orthodox,0.38,0.54,2.1,0.45,2.34,0.54,155.0,0.5083487940630799,8.129999999999999,1.114285714285714,1.0142857142857142,17.564102564102566,34.93698630136986,lw,0.627906976744186,1.026888255110198,0.11747062314708161,-0.12242424521899395,-0.004685758382167666,0.4314426311408588,0.38563423038919215,0.2619845100510878,-0.5209935021423773,0.7895387593520342,-0.40864511557514993,-0.3304730346336686,-0.11817414870760148,-0.3454517635253751,43.0
0,5,0.0,9,Colorado Brazilian Jiu-Jitsu,USA,1971-12-13,Mike,76.0,76.0,Nickels,"Denver, Colorado",Mike Nickels,,,1.11,4.44,Orthodox,0.52,0.64,2.8,0.8,11.11,0.0,205.0,4.0,5.550000000000001,3.967857142857143,,5.994599459945996,47.38630136986301,lhw,0.6428571428571429,-0.702714207056744,1.115006438678428,0.5937334159816081,1.0407019654615808,1.8554500549291948,4.552709063434868,-1.1549927142953476,0.5934240276093244,-0.16161527398814846,0.16489025642483396,-0.5780257405835321,1.140301632625024,,14.0
0,3,0.0,9,,Russia,1983-01-31,Konstantin,71.0,71.0,Erokhin,Moscow,Konstantin Erokhin,The Russian Bear,73.0,1.83,1.07,Orthodox,0.36,0.47,0.0,0.0,0.0,0.7,230.0,0.5846994535519126,2.9000000000000004,,1.028169014084507,,36.24383561643835,hw,0.75,-0.5215553302958068,-0.711787349236879,-0.3163291429143208,0.021442323652953066,-0.8935011584328623,-0.5076906562246452,0.8726102282416204,-0.2910130777994863,-0.7653439151598427,,,-0.5382911674880013,-0.1436441833404924,12.0
1,14,0.0,17,MMA Masters Chicago,USA,1973-05-27,Gideon,70.0,70.0,Ray,"Roselle, Illinois",Gideon Ray,,,2.58,2.08,Southpaw,0.4,0.53,0.0,1.0,1.49,0.0,185.0,0.8062015503875969,4.66,,,20.939597315436245,45.93150684931507,mw,0.53125,-0.273656218732562,-0.23247160677892095,-0.14431089814843445,0.2227403042188758,2.1644083162407237,-0.03749996031534061,-1.3568884451423955,-0.18575011830596658,-0.33638014748387374,,-0.31639225631608014,1.3554928579261198,,32.0
2,9,0.0,27,Alive,Japan,1983-07-18,Hatsu,71.0,71.0,Hioki,"Nagoya, Aichi",Hatsu Hioki,,70.0,2.12,2.42,Orthodox,0.42,0.65,0.6,0.56,2.55,0.54,145.0,1.141509433962264,4.54,4.25,0.9859154929577465,14.235294117647058,35.78356164383562,fw,0.7105263157894737,-0.608924206631308,-0.24840756383527596,0.07771555276967303,0.8224391131433857,0.995628047172605,0.6137638994327421,0.07632794232287117,0.17886874550204385,-0.5346553986469809,0.6078754947650159,-0.5719928772986228,0.4786580491217128,-1.3396809271258416,38.0
0,3,0.0,11,Northeast Jiu-Jitsu,USA,1987-06-09,Jimy,69.0,69.0,Hettes,"Swoyersville, Pennsylvania",Jimy Hettes,The Kid,71.0,3.5,3.47,Southpaw,0.57,0.57,1.4,0.44,5.2,0.61,145.0,0.9914285714285714,6.970000000000001,3.714285714285715,1.0289855072463767,10.009615384615385,31.887671232876713,fw,0.7857142857142857,0.07423976424673505,0.39417966716376324,1.3398628759462947,0.15451534977279976,0.548468783881049,2.1105672483609066,0.2888654170782651,-0.02472773791517474,0.25951468346933715,0.4269354494403044,-0.6577146141920172,-0.29355286666308805,0.2643728065940494,14.0
1,18,1.0,23,Damage Incorporated,USA,1986-09-12,Dustin,69.0,69.0,Neace,"Indianapolis, Indiana",Dustin Neace,The Beast,,2.66,2.08,,0.32,0.56,1.7,0.0,0.0,0.0,145.0,0.7819548872180451,4.74,0.0,,,32.62739726027397,fw,0.5476190476190477,-0.34159917454859545,-0.4564834291111552,-0.7637159960147414,0.07102487935147744,-1.0911151815213223,-0.8265563042528498,-1.563246862933026,-0.30889525103922666,-0.4692916058802057,-0.8275821981443633,,-0.14693054088116383,,43.0
0,5,0.0,11,Team Aggression,USA,1985-08-10,Joe,70.0,70.0,Proctor,"Pembroke, Massachusetts",Joe Proctor,,72.0,3.93,3.39,Orthodox,0.36,0.59,1.8,0.0,0.0,0.7,155.0,0.8625954198473282,7.32,0.0,1.0285714285714285,,33.71780821917808,lw,0.6875,0.30478178051005816,0.5342731374217906,-0.2651699238549096,0.38459263029032925,-1.1474814557149924,-0.8330794058249812,0.7725108515997551,-0.09300374622444935,0.5064899998650467,-0.7033090482964314,,-0.35409340265160805,0.16966250229930965,16.0
0,6,0.0,14,Reign MMA,USA,1978-02-09,Mark,72.0,72.0,Munoz,"Mission Viejo, California",Mark Munoz,The Filipino Wrecking Machine,72.0,2.26,3.12,Orthodox,0.51,0.57,0.6,0.29,3.17,0.57,185.0,1.3805309734513276,5.38,5.283333333333333,1.0,14.763406940063094,41.221917808219175,mw,0.7,-0.39507461291799123,0.4606142747841064,0.5592047303251901,0.5002268943903901,-0.1416720449835207,0.7255427104489808,0.3761001997324155,0.2796638607502693,-0.11004294236093441,1.433793947521599,-0.43337353547052393,0.6057186967393737,-0.9935883815745682,20.0
0,5,0.0,19,Millennia MMA,USA,1973-06-18,Wes,74.0,74.0,Combs,"Rancho Cucamonga, California",Wes Combs,The Soldier,,4.73,2.14,Orthodox,0.48,0.45,0.0,0.0,0.0,0.0,205.0,0.4524312896405919,6.870000000000001,,,,45.87123287671233,lhw,0.7916666666666666,0.2573617401083003,-0.1866366466274038,0.34865212345008795,-0.31317420256945583,-0.9887720545019878,-0.6530383149394925,-1.1549927142953476,-0.156241395304933,0.15238785538005695,,,0.9339247422642574,,24.0
0,6,0.0,7,One Kick's Gym,USA,1986-12-08,Steve,74.0,74.0,Cantwell,"Pahrump, Nevada",Steve Cantwell,The Robot,75.0,5.76,3.63,Orthodox,0.34,0.55,0.7,0.3,0.65,0.8,185.0,0.6302083333333334,9.39,0.9285714285714287,1.0135135135135136,83.76923076923076,32.38904109589041,mw,0.5384615384615384,0.9329390734851399,0.8004929282428984,-0.5280466954976842,0.36148359930463336,-0.10919203989585527,-0.4190212956975013,1.0753763195941817,-0.32836810050717347,1.1505295472821033,-0.4617428454863365,0.8736440676185834,-0.8004895031827118,-0.5322521962240686,13.0
0,10,1.0,26,Constrictor Team,Brazil,1984-09-12,Rani,66.0,66.0,Yahya,"Brasilia, Federal District",Rani Yahya,,67.0,1.61,1.59,Orthodox,0.36,0.52,2.1,0.32,2.92,0.22,135.0,0.9875776397515528,3.2,1.3904761904761904,1.0151515151515151,8.167808219178083,34.62739726027397,bw,0.7222222222222222,-0.8561966665346034,-0.7598527944993393,-0.345756614248428,-0.2828119268281642,0.021414608905090973,0.9705482907896544,-0.8943459914911256,-0.00034964550186497226,-1.0787809930600032,-0.3365198481272392,-0.6871319241978054,0.3751615856480815,-0.1488110113529806,37.0
0,4,0.0,12,H2O MMA,Canada,1989-02-23,Olivier,69.0,69.0,Aubin-Mercier,"Boucherville, Quebec",Olivier Aubin-Mercier,The Canadian Gangster,70.0,2.95,2.59,Southpaw,0.51,0.55,0.6,0.35,2.63,0.65,155.0,0.8779661016949152,5.54,4.383333333333334,1.0144927536231885,14.771863117870721,30.175342465753424,lw,0.75,-0.1799198257283921,0.021285427545225437,0.805422665914457,0.07316991935233189,0.08057061183955842,0.5366713904328291,0.6129713698657967,-0.07443336645674635,-0.11551838518043307,0.4558283451648492,-0.37391559048469675,-1.039584628156328,-0.3379863393829842,16.0
0,5,0.0,12,Sparta Indy,USA,1982-09-22,Shamar,69.0,68.0,Bailey,"Indianapolis, Indiana",Shamar Bailey,,75.0,3.91,1.56,,0.2,0.69,0.0,0.33,1.5,0.37,155.0,0.3989769820971867,5.470000000000001,,1.0869565217391304,15.600000000000001,36.602739726027394,lw,0.7058823529411765,0.29488991099498774,-0.6391862489208519,-1.4071353529422337,1.163149407635324,0.010396207979298501,-0.05185271594410076,-0.2804497278443716,-0.6531331238083674,-0.13997938908671576,,-0.3610311715632651,0.2041604724113999,2.2749121104523784,17.0
0,2,1.0,12,Bushido Bulgaria,Bulgaria,1981-12-09,Stanislav,71.0,71.0,Nedkov,Veliko Tarnovo,Stanislav Nedkov,Stucky,71.0,5.39,3.33,Orthodox,0.43,0.43,0.0,0.41,2.77,0.0,205.0,0.6178107606679035,8.719999999999999,,1.0,18.032490974729242,37.38904109589041,lhw,0.8571428571428571,0.4324032111383911,0.486822167074309,0.04230050778568814,-0.45568748341482823,0.46889177658149306,0.6448842987506048,-1.1549927142953476,-0.12129372234598833,0.5924679988127685,,-0.3775577806012671,-0.22148728767594625,-1.061736123558367,15.0
0,6,0.0,8,Freestyle Fighting Academy,USA,1981-09-07,Patrick,68.0,68.0,Williams,"Homestead, Florida",Patrick Williams,The Animal,73.0,4.12,4.12,Orthodox,0.51,0.52,0.5,0.41,2.71,1.0,135.0,1.0,8.24,5.42,1.0735294117647058,22.804428044280446,37.64383561643836,bw,0.5714285714285714,0.19871952839393453,0.5748268419198372,0.9039109368083301,-0.2828119268281642,0.3346032641420424,0.8368620902875741,1.575398988772402,0.01691828730459946,0.4846940945993068,0.48847200558752124,-0.41634901476895103,0.9866152409507198,1.7658544147188346,14.0
2,8,0.0,20,Champion Team,Brazil,1982-11-22,Edilberto,72.0,72.0,de Oliveira,"Campo Formoso, Bahia",Edilberto de Oliveira,Crocota,,6.79,4.12,Orthodox,0.32,0.61,0.0,0.0,0.0,0.0,170.0,0.6067746686303388,10.91,,,,36.43561643835616,ww,0.6666666666666666,1.6403085432340314,1.0307127702926442,-0.6393487851457986,0.733244953987155,-1.1797975577175064,-0.8990079010929118,-1.505745804755249,-0.42419875539864293,1.7171512278745007,,,0.042868312948386916,,30.0
0,6,0.0,13,Evolve MMA,Brazil,1983-09-19,Leandro,67.0,66.0,Issa,"Ubatuba, Sao Paulo",Leandro Issa,Brodinho,69.0,3.17,2.08,Orthodox,0.37,0.58,1.2,0.22,2.38,0.5,135.0,0.6561514195583596,5.25,1.9833333333333334,1.0298507462686568,13.109243697478993,35.61095890410959,bw,0.6842105263157895,-0.20055154139973522,-0.5013575289477992,-0.26244544417797744,0.2596306213504372,-0.32657278580263294,0.6267837752128762,-0.007770870370884889,-0.46105482439988593,-0.4428437054207998,-0.2151401674518815,-0.5957135303638366,0.574536574071012,0.33329114104746854,19.0
0,3,0.0,12,East Islip Kickboxing,USA,1987-09-30,Chris,70.0,69.0,Wade,"Long Island, New York",Chris Wade,,70.0,1.75,1.7,Orthodox,0.53,0.51,1.1,0.51,2.6,0.55,155.0,0.9714285714285714,3.45,2.3636363636363633,1.0,9.807692307692307,31.578082191780823,lw,0.8,-0.773431996632617,-0.5494133996924531,0.9481683445503727,-0.23825279158566634,0.6419658427216389,0.5210468566352116,0.29389240639787956,0.0384850827175772,-0.8458540732394513,-0.07826434252401615,-0.451149750315169,-0.7681449472140102,-0.8605660293500599,15.0
1,6,0.0,14,AVT Fight Team,England,1986-08-08,Danny,74.0,74.0,Mitchell,"Doncaster, Yorkshire",Danny Mitchell,The Cheesecake Assassin,74.0,2.53,2.53,Orthodox,0.49,0.52,3.0,0.0,0.0,1.0,170.0,1.0,5.06,0.0,1.0,,32.723287671232875,ww,0.6666666666666666,-0.3731663172413583,-0.018847216820872623,0.5568829806872594,0.016222233495291852,-1.1797975577175064,-0.8990079010929118,1.7052333321281397,0.040050018880962684,-0.27916996573332137,-0.6273446164496953,,-0.6188451375431014,-1.1575765499160868,21.0
0,4,0.0,16,Renzo Gracie Philly,USA,1984-04-25,Paul,71.0,70.0,Felder,"Philadelphia, Pennsylvania",Paul Felder,The Irish Dragon,70.0,3.08,3.53,Orthodox,0.43,0.5,0.3,0.33,0.32,0.59,155.0,1.146103896103896,6.609999999999999,1.0666666666666667,0.9859154929577465,165.46874999999997,35.010958904109586,lw,0.8,-0.11562267388043446,0.6240459866501893,0.2344399513707948,-0.3161084693201659,0.010396207979298501,-0.6664177119837267,0.4215239917850462,0.2495223774474038,0.25838553167274836,-0.42123759133246963,1.9706748542165111,-0.10385994678290965,-1.3684251646701728,20.0
1,7,0.0,15,Atherton Submission Wrestling,England,1983-03-03,Rob,74.0,74.0,Broughton,Liverpool,Rob Broughton,The Bear,74.0,2.54,2.83,,0.6,0.51,3.2,0.0,0.0,0.26,265.0,1.1141732283464567,5.37,0.0,1.0,,36.15890410958904,hw,0.6521739130434783,-0.3463625185354341,0.21517732305616763,0.9707496302210964,0.2815777666514036,-0.8935011584328623,-0.5076906562246452,-0.38325355603975275,0.08605079582779897,-0.2197969005393273,-0.6724843090192071,,-0.5502617008027567,-1.2381795593942106,23.0
2,6,0.0,16,Colorado Stars,USA,1965-11-23,Ron,74.0,74.0,Waterman,"Greeley, Colorado",Ron Waterman,H20,,1.37,0.84,Orthodox,0.5,0.42,2.8,0.69,4.19,0.5,280.0,0.6131386861313868,2.21,1.4964285714285717,,3.007159904534606,53.443835616438356,shw,0.6666666666666666,-0.5051742996353074,-0.7684222498346309,0.3890737086771194,-0.1441633414947894,0.6613122867005413,1.6891274078035912,0.3554496077961384,-0.31224043002641627,-0.5952293455926873,-0.2059013439577109,-0.77538611034486,1.0126295004931753,,24.0
1,9,1.0,27,American Top Team,Brazil,1980-09-25,Iliarde,65.0,63.0,Santos,"Escada, Pernambuco",Iliarde Santos,,66.0,6.1,3.0,Orthodox,0.3,0.57,0.0,0.23,1.66,0.83,125.0,0.49180327868852464,9.1,,1.0153846153846153,27.10843373493976,38.59452054794521,flw,0.7297297297297297,1.8046229535846205,-0.08399539694342242,-1.0838806212038454,0.09826390484934709,-0.32894633720078154,0.19878289252928733,1.0555940472519596,-0.9426924841150909,1.1130352071908332,,-0.2938360282101109,1.6643152261123504,0.08178107258150535,38.0
4,6,0.0,19,Cobra Kai MMA Dojo,Japan,1987-08-29,Motonobu,67.0,67.0,Tezuka,Nagano,Motonobu Tezuka,,66.0,2.8,0.87,Southpaw,0.23,0.51,0.5,0.11,1.5,0.0,135.0,0.3107142857142857,3.67,3.0,0.9850746268656716,8.700000000000001,31.665753424657535,bw,0.6551724137931034,-0.35605711595095396,-1.1396825724526227,-1.4288018251642849,-0.3732190181912646,-0.7093589199811293,0.06657493501368203,-1.5909407295141718,-0.941236134294094,-0.9329807368695517,-0.0069910764945412185,-0.6772861783557271,-0.2251848279596856,-1.1352661847262016,29.0
0,7,1.0,11,All In MMA,USA,1981-10-08,Francisco,68.0,68.0,Rivera,"Buena Park, California",Francisco Rivera,Cisco,68.0,3.16,4.07,Orthodox,0.41,0.68,0.6,0.63,1.01,0.68,135.0,1.2879746835443038,7.23,1.6833333333333333,1.0,60.44554455445545,37.558904109589044,bw,0.6111111111111112,-0.20475439476598428,0.5484497740064149,0.07079923610382455,1.1637015349814412,1.100175532499035,-0.24535953282450565,0.5621702789206985,0.41722284987977337,0.17137865044535783,-0.276561210685195,0.28002563761458804,0.96939901632367,-0.6457470761349782,19.0
0,3,0.0,5,,USA,1979-05-15,Chris,75.0,75.0,de la Rocha,"Washougal, Washington",Chris de la Rocha,,80.0,6.37,4.08,Orthodox,0.45,0.43,1.0,0.3,2.02,0.33,250.0,0.640502354788069,10.45,2.02,1.0666666666666667,30.2970297029703,39.961643835616435,hw,0.625,0.5986916632141824,0.8735329141733883,0.16632539701146082,-0.2386931193454971,0.010812445261564285,0.2769835915530335,-0.1834570449040797,-0.25127313391291556,0.902218821838089,-0.09102134125880473,-0.15413273776977102,-0.014290725290483667,1.3522208305995922,8.0
2,9,0.0,30,,Russia,1977-06-17,Andrei,72.0,72.0,Semenov,St. Petersburg,Andrei Semenov,,,2.44,0.78,Orthodox,0.15,0.6,0.4,0.8,1.74,0.55,185.0,0.319672131147541,3.2199999999999998,4.35,,6.724137931034483,41.87123287671233,mw,0.7317073170731707,-0.3267767661886873,-1.0988289587327051,-1.7432100537703088,0.7083418370190264,1.5148082144874155,0.07604805616744531,0.3152935806140013,-0.5800144269818381,-0.7890545577297526,1.0275334648211556,-0.5856428009861655,0.7090907015103214,,41.0
0,6,0.0,18,Jackson-Wink MMA,USA,1979-09-01,Tim,71.0,71.0,Kennedy,"Fort Bragg, North Carolina",Tim Kennedy,,74.0,1.84,2.78,Orthodox,0.47,0.62,0.7,0.35,2.58,0.7,185.0,1.5108695652173911,4.62,3.685714285714286,1.0422535211267605,16.162790697674417,39.66301369863014,mw,0.75,-0.5544362552863669,0.234028505811578,0.30338086542569004,0.8470851321047839,0.05320798554247176,0.457569391549606,0.7713432240021092,0.3852851299773182,-0.3489544366573704,0.7383837845318099,-0.40686824789939163,0.3575386515298003,0.44889940923965893,24.0
